run,scenario,protocol,pcap_file,network_packet_count,network_total_bytes,network_duration_s,network_throughput_bps
1,A,RUDP,captures\rudp_scenario_a_run_1.pcap,1198,719592,4.110435962677002,175064.6419343197
1,A,TCP,captures\tcp_scenario_a_run_1.pcap,164,577386,8.032551050186157,71880.775658017
1,B,RUDP,captures\rudp_scenario_b_run_1.pcap,1300,742159,58.15333294868469,12762.10601127353
1,B,TCP,captures\tcp_scenario_b_run_1.pcap,407,552104,5.263347864151001,104895.97386492648
1,C,RUDP,captures\rudp_scenario_c_run_1.pcap,1635,928338,152.5311939716339,6086.217355465284
1,C,TCP,captures\tcp_scenario_c_run_1.pcap,531,535810,20.375500917434692,26296.77680912982
2,A,RUDP,captures\rudp_scenario_a_run_2.pcap,1027,590654,1.5479400157928467,381574.2173300366
2,A,TCP,captures\tcp_scenario_a_run_2.pcap,112,531714,5.233552932739258,101597.13808831188
2,B,RUDP,captures\rudp_scenario_b_run_2.pcap,1325,758175,66.75764298439026,11357.126556689274
2,B,TCP,captures\tcp_scenario_b_run_2.pcap,420,554194,1.473214864730835,376180.0218471557
2,C,RUDP,captures\rudp_scenario_c_run_2.pcap,1600,910833,143.66031503677368,6340.185177561723
2,C,TCP,captures\tcp_scenario_c_run_2.pcap,583,564292,21.416635990142822,26348.302331875086
3,A,RUDP,captures\rudp_scenario_a_run_3.pcap,1027,590654,1.5623750686645508,378048.78728951106
3,A,TCP,captures\tcp_scenario_a_run_3.pcap,123,532440,5.243427038192749,101544.27555141799
3,B,RUDP,captures\rudp_scenario_b_run_3.pcap,1321,754800,64.86878705024719,11635.796418011238
3,B,TCP,captures\tcp_scenario_b_run_3.pcap,467,556036,5.166373014450073,107625.98798901988
3,C,RUDP,captures\rudp_scenario_c_run_3.pcap,1691,959553,171.6086390018463,5591.519200788465
3,C,TCP,captures\tcp_scenario_c_run_3.pcap,568,531308,18.251863956451416,29109.794006118515
4,A,RUDP,captures\rudp_scenario_a_run_4.pcap,1027,590654,1.5485050678253174,381434.9802739103
4,A,TCP,captures\tcp_scenario_a_run_4.pcap,185,536580,0.1137230396270752,4718305.118818253
4,B,RUDP,captures\rudp_scenario_b_run_4.pcap,1283,732893,54.87049913406372,13356.776620699966
4,B,TCP,captures\tcp_scenario_b_run_4.pcap,483,557112,7.8027119636535645,71399.79055937575
4,C,RUDP,captures\rudp_scenario_c_run_4.pcap,1729,981460,178.64726209640503,5493.842942134573
4,C,TCP,captures\tcp_scenario_c_run_4.pcap,576,563514,22.0455219745636,25561.381610750228
5,A,RUDP,captures\rudp_scenario_a_run_5.pcap,1027,590654,1.5553960800170898,379745.07431798993
5,A,TCP,captures\tcp_scenario_a_run_5.pcap,108,531450,5.0617430210113525,104993.47710738081
5,B,RUDP,captures\rudp_scenario_b_run_5.pcap,1359,776707,71.98345518112183,10790.076664779172
5,B,TCP,captures\tcp_scenario_b_run_5.pcap,471,556220,4.346995115280151,127955.0552161486
5,C,RUDP,captures\rudp_scenario_c_run_5.pcap,1713,973305,164.8906660079956,5902.729508975384
5,C,TCP,captures\tcp_scenario_c_run_5.pcap,616,566514,28.259643077850342,20046.750004568483
