experiment,run,scenario,file_size_bytes,chunk_size_bytes,window_size,timeout_s,max_retries,delay_mean_ms,delay_std_ms,loss_probability,original_data_packets,total_data_packets,retransmitted_packets,ack_packets_sent,ack_packets_received,data_packets_lost,ack_packets_lost,useful_data_bytes,data_bytes_sent,ack_bytes_sent,total_bytes_sent,duration_s,throughput_bps,network_throughput_bps,mean_rtt_s,efficiency_ratio
stress_25_loss,1,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1199,687,896,666,303,230,524288,1227776,35840,1263616,211.59999999999854,2477.7315689981265,5971.720226843141,0.3780780780780689,0.24439140811455848
stress_25_loss,2,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1167,655,899,663,268,236,524288,1195008,35960,1230968,203.39999999999856,2577.6204523107363,6051.956735496601,0.39698340874810417,0.24782187802516942
stress_25_loss,3,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1148,636,864,613,284,251,524288,1175552,34560,1210112,200.79999999999853,2610.996015936274,6026.4541832669765,0.34616639477976213,0.2544731610337972
stress_25_loss,4,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1174,662,877,646,297,231,524288,1202176,35080,1237256,206.79999999999856,2535.241779497116,5982.862669245689,0.42321981424147637,0.24963432471964894
stress_25_loss,5,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1131,619,875,664,256,211,524288,1158144,35000,1193144,193.9999999999987,2702.515463917544,6150.226804123753,0.38915662650601507,0.25523429710867396
stress_25_loss,6,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1104,592,844,631,260,213,524288,1130496,33760,1164256,185.39999999999878,2827.874865156437,6279.697950377603,0.40824088748018145,0.26283367556468173
stress_25_loss,7,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1129,617,854,652,275,202,524288,1156096,34160,1190256,193.79999999999873,2705.3044375645172,6141.6718266254275,0.36809815950919295,0.25819465456379226
stress_25_loss,8,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1134,622,865,662,269,203,524288,1161216,34600,1195816,196.19999999999862,2672.2120285423225,6094.88277268098,0.3435045317220449,0.256128064032016
stress_25_loss,9,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1233,721,913,671,320,242,524288,1262592,36520,1299112,222.19999999999837,2359.531953195337,5846.58865886593,0.411624441132628,0.2385834109972041
stress_25_loss,10,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1144,632,876,650,268,226,524288,1171456,35040,1206496,197.19999999999865,2658.661257606509,6118.133874239393,0.38918083462131975,0.25346534653465347
stress_25_loss,11,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1117,605,862,646,255,216,524288,1143808,34480,1178288,190.5999999999987,2750.7240293809214,6181.993704092382,0.37399380804952703,0.25871652349671553
stress_25_loss,12,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1189,677,896,665,293,231,524288,1217536,35840,1253376,209.5999999999986,2501.3740458015436,5979.847328244315,0.3888721804511184,0.24556354916067147
stress_25_loss,13,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1156,644,877,666,279,211,524288,1183744,35080,1218824,200.99999999999855,2608.3980099502674,6063.80099502492,0.3927927927927833,0.25184456468273486
stress_25_loss,14,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1154,642,879,667,275,212,524288,1181696,35160,1216856,199.9999999999987,2621.4400000000173,6084.28000000004,0.3610194902548636,0.25184456468273486
stress_25_loss,15,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1159,647,883,662,276,221,524288,1186816,35320,1222136,202.19999999999868,2592.917903066288,6044.1938674580015,0.39063444108760464,0.2507345739471107
stress_25_loss,16,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1216,704,913,692,303,221,524288,1245184,36520,1281704,217.1999999999984,2413.8489871086736,5901.031307550688,0.36647398843929635,0.24048849224988258
stress_25_loss,17,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1194,682,908,683,286,225,524288,1222656,36320,1258976,209.99999999999864,2496.60952380954,5995.123809523849,0.46500732064420663,0.24357754519505234
stress_25_loss,18,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1239,727,914,663,325,251,524288,1268736,36560,1305296,224.79999999999842,2332.241992882579,5806.476868327443,0.40241327300149793,0.23780771017185323
stress_25_loss,19,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1189,677,890,689,299,201,524288,1217536,35600,1253136,209.39999999999858,2503.7631327602844,5984.412607449897,0.37735849056602827,0.24627224627224628
stress_25_loss,20,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1132,620,858,658,274,200,524288,1159168,34320,1193488,194.99999999999866,2688.656410256429,6120.451282051324,0.3774733637747247,0.25728643216080405
stress_25_loss,21,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1252,740,922,691,330,231,524288,1282048,36880,1318928,225.99999999999855,2319.858407079661,5835.964601769949,0.4040520984080945,0.23551057957681693
stress_25_loss,22,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1155,643,882,671,273,211,524288,1182720,35280,1218000,200.59999999999854,2613.5992023928407,6071.784646061858,0.3967213114754002,0.25135002454590083
stress_25_loss,23,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1196,684,897,687,299,210,524288,1224704,35880,1260584,212.79999999999853,2463.7593984962577,5923.796992481244,0.3764192139737893,0.24462494027711418
stress_25_loss,24,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1212,700,913,690,299,223,524288,1241088,36520,1277608,216.59999999999843,2420.5355493998327,5898.46722068333,0.3736231884057869,0.24094117647058824
stress_25_loss,25,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1203,691,911,661,292,250,524288,1231872,36440,1268312,212.59999999999857,2466.0771401693487,5965.719661335882,0.42178517397881027,0.24219489120151372
stress_25_loss,26,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1140,628,870,658,270,212,524288,1167360,34800,1202160,195.1999999999988,2685.901639344279,6158.6065573770875,0.3854103343464956,0.25472636815920396
stress_25_loss,27,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1284,772,947,707,337,240,524288,1314816,37880,1352696,234.39999999999839,2236.72354948807,5770.887372013692,0.4141442715700037,0.22949350067234425
stress_25_loss,28,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1149,637,874,652,275,222,524288,1176576,34960,1211536,201.1999999999985,2605.8051689861027,6021.550695825094,0.4046012269938555,0.25308947108255064
stress_25_loss,29,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1209,697,908,652,301,256,524288,1238016,36320,1274336,215.9999999999984,2427.2592592592773,5899.703703703747,0.4438650306748372,0.2418516769012754
stress_25_loss,30,STRESS,524288,1024,4,1.0,100,100,0.0,0.25,512,1259,747,935,696,324,239,524288,1289216,37400,1326616,229.1999999999984,2287.4694589877995,5788.02792321121,0.39712643678159854,0.2333637192342753
